Order ID,Returned,Reason
US-2021-100762,Yes,Wrong quantity received
US-2021-100867,Yes,Item not as described or pictured
US-2021-102652,Yes,Defective / Does not work
US-2021-103373,Yes,Damaged in transit
US-2021-103744,Yes,Defective / Does not work
US-2021-103940,Yes,Damaged in transit
US-2021-104829,Yes,"Did not like color, style, or appearance"
US-2021-105270,Yes,Wrong item received
US-2021-108609,Yes,Missing parts or accessories
US-2021-108861,Yes,Wrong quantity received
US-2021-109918,Yes,Missing parts or accessories
US-2021-110786,Yes,Wrong item received
US-2021-111871,Yes,"Did not like color, style, or appearance"
US-2021-116785,Yes,Wrong item received
US-2021-123225,Yes,Found a better price elsewhere
US-2021-123253,Yes,Item not as described or pictured
US-2021-123498,Yes,Wrong item received
US-2021-124688,Yes,"Did not like color, style, or appearance"
US-2021-126361,Yes,Defective / Does not work
US-2021-126403,Yes,Defective / Does not work
US-2021-126522,Yes,Poor quality / Did not meet expectations
US-2021-127012,Yes,Found a better price elsewhere
US-2021-127131,Yes,Poor quality / Did not meet expectations
US-2021-133690,Yes,Defective / Does not work
US-2021-134726,Yes,Missing parts or accessories
US-2021-135657,Yes,Wrong quantity received
US-2021-135699,Yes,"Did not like color, style, or appearance"
US-2021-140816,Yes,Wrong quantity received
US-2021-141726,Yes,Missing parts or accessories
US-2021-142769,Yes,Found a better price elsewhere
US-2021-143336,Yes,Item not as described or pictured
US-2021-143840,Yes,Wrong quantity received
US-2021-148614,Yes,Defective / Does not work
US-2021-148950,Yes,Item not as described or pictured
US-2021-151162,Yes,Found a better price elsewhere
US-2021-152345,Yes,Poor quality / Did not meet expectations
US-2021-153150,Yes,Wrong quantity received
US-2021-156349,Yes,Missing parts or accessories
US-2021-157924,Yes,Damaged in transit
US-2021-159338,Yes,Damaged in transit
US-2021-160766,Yes,Wrong quantity received
US-2021-160773,Yes,Defective / Does not work
US-2021-164721,Yes,Wrong quantity received
US-2021-164861,Yes,Missing parts or accessories
US-2021-166744,Yes,Poor quality / Did not meet expectations
US-2021-169019,Yes,"Did not like color, style, or appearance"
US-2022-101910,Yes,Found a better price elsewhere
US-2022-103716,Yes,Wrong quantity received
US-2022-104129,Yes,"Did not like color, style, or appearance"
US-2022-105158,Yes,Wrong quantity received
US-2022-107678,Yes,Damaged in transit
US-2022-109736,Yes,Item not as described or pictured
US-2022-110814,Yes,Item not as described or pictured
US-2022-111948,Yes,Item not as described or pictured
US-2022-112144,Yes,"Did not like color, style, or appearance"
US-2022-113628,Yes,Poor quality / Did not meet expectations
US-2022-114048,Yes,Damaged in transit
US-2022-116092,Yes,Missing parts or accessories
US-2022-119214,Yes,Damaged in transit
US-2022-119907,Yes,Wrong item received
US-2022-123568,Yes,Poor quality / Did not meet expectations
US-2022-124058,Yes,Found a better price elsewhere
US-2022-130456,Yes,Poor quality / Did not meet expectations
US-2022-130785,Yes,Defective / Does not work
US-2022-132374,Yes,Poor quality / Did not meet expectations
US-2022-132941,Yes,Poor quality / Did not meet expectations
US-2022-134075,Yes,Poor quality / Did not meet expectations
US-2022-134201,Yes,Damaged in transit
US-2022-135580,Yes,Poor quality / Did not meet expectations
US-2022-138674,Yes,Found a better price elsewhere
US-2022-139731,Yes,Found a better price elsewhere
US-2022-140984,Yes,Wrong quantity received
US-2022-141593,Yes,"Did not like color, style, or appearance"
US-2022-142601,Yes,Missing parts or accessories
US-2022-143238,Yes,Defective / Does not work
US-2022-143490,Yes,"Did not like color, style, or appearance"
US-2022-143602,Yes,Item not as described or pictured
US-2022-144267,Yes,Item not as described or pictured
US-2022-146255,Yes,Found a better price elsewhere
US-2022-146262,Yes,Wrong item received
US-2022-146486,Yes,Defective / Does not work
US-2022-148873,Yes,Damaged in transit
US-2022-149342,Yes,Wrong quantity received
US-2022-149636,Yes,Item not as described or pictured
US-2022-149650,Yes,Poor quality / Did not meet expectations
US-2022-150770,Yes,Found a better price elsewhere
US-2022-150875,Yes,Damaged in transit
US-2022-151547,Yes,"Did not like color, style, or appearance"
US-2022-153220,Yes,Missing parts or accessories
US-2022-154970,Yes,"Did not like color, style, or appearance"
US-2022-155761,Yes,Found a better price elsewhere
US-2022-156440,Yes,Wrong item received
US-2022-157770,Yes,Missing parts or accessories
US-2022-157812,Yes,Missing parts or accessories
US-2022-161627,Yes,Item not as described or pictured
US-2022-162166,Yes,Defective / Does not work
US-2022-164882,Yes,"Did not like color, style, or appearance"
US-2022-168480,Yes,Missing parts or accessories
US-2022-168564,Yes,Missing parts or accessories
US-2022-169397,Yes,Wrong item received
US-2023-104689,Yes,Poor quality / Did not meet expectations
US-2023-105081,Yes,Missing parts or accessories
US-2023-105291,Yes,"Did not like color, style, or appearance"
US-2023-105585,Yes,Missing parts or accessories
US-2023-106950,Yes,Wrong item received
US-2023-109806,Yes,"Did not like color, style, or appearance"
US-2023-109869,Yes,Wrong item received
US-2023-111682,Yes,Defective / Does not work
US-2023-112123,Yes,Found a better price elsewhere
US-2023-112340,Yes,Defective / Does not work
US-2023-113341,Yes,"Did not like color, style, or appearance"
US-2023-114307,Yes,Defective / Does not work
US-2023-114727,Yes,Missing parts or accessories
US-2023-115917,Yes,Missing parts or accessories
US-2023-116547,Yes,Defective / Does not work
US-2023-116736,Yes,Missing parts or accessories
US-2023-118311,Yes,Defective / Does not work
US-2023-118500,Yes,Poor quality / Did not meet expectations
US-2023-118899,Yes,Found a better price elsewhere
US-2023-120873,Yes,Wrong item received
US-2023-123526,Yes,Poor quality / Did not meet expectations
US-2023-124527,Yes,Wrong item received
US-2023-126529,Yes,Item not as described or pictured
US-2023-126732,Yes,Wrong quantity received
US-2023-128671,Yes,Item not as described or pictured
US-2023-130477,Yes,Wrong quantity received
US-2023-130638,Yes,Found a better price elsewhere
US-2023-130680,Yes,Item not as described or pictured
US-2023-133319,Yes,Defective / Does not work
US-2023-133368,Yes,Defective / Does not work
US-2023-133802,Yes,Found a better price elsewhere
US-2023-134775,Yes,Wrong item received
US-2023-134803,Yes,Missing parts or accessories
